Version,Vector,BaseScore,ImpactSubscore,ExploitabilitySubscore,TemporalScore,EnvironmentalScore,Severity
2,AV:A/AC:H/Au:M/C:C/I:C/A:C,6.2,10,2.03,,,Medium
2,AV:A/AC:H/Au:M/C:C/I:C/A:C/E:F/RL:OF/RC:C,6.2,10,2.03,5.1,,Medium
2,AV:A/AC:H/Au:M/C:C/I:C/A:C/E:H/RL:ND/RC:ND,6.2,10,2.03,6.2,,Medium
2,AV:A/AC:H/Au:M/C:C/I:C/A:C/E:POC/RL:U/RC:C,6.2,10,2.03,5.6,,Medium
2,AV:A/AC:H/Au:M/C:C/I:C/A:C/E:U/RL:OF/RC:C,6.2,10,2.03,4.6,,Medium
2,AV:A/AC:H/Au:M/C:C/I:C/A:C/E:U/RL:U/RC:UR,6.2,10,2.03,5,,Medium
2,AV:A/AC:H/Au:M/C:C/I:C/A:N/E:U/RL:OF/RC:C,5.7,9.21,2.03,4.2,,Medium
2,AV:A/AC:H/Au:M/C:C/I:C/A:P/E:H/RL:OF/RC:C,5.9,9.54,2.03,5.1,,Medium
2,AV:A/AC:H/Au:M/C:C/I:C/A:P/E:H/RL:U/RC:UC,5.9,9.54,2.03,5.3,,Medium
2,AV:A/AC:H/Au:M/C:C/I:C/A:P/E:U/RL:OF/RC:C,5.9,9.54,2.03,4.4,,Medium
2,AV:A/AC:H/Au:M/C:C/I:N/A:N,4,6.87,2.03,,,Medium
2,AV:A/AC:H/Au:M/C:C/I:N/A:N/E:H/RL:ND/RC:ND,4,6.87,2.03,4,,Medium
2,AV:A/AC:H/Au:M/C:C/I:N/A:N/E:U/RL:OF/RC:C,4,6.87,2.03,3,,Medium
2,AV:A/AC:H/Au:M/C:C/I:P/A:N/E:U/RL:OF/RC:C,4.7,7.84,2.03,3.5,,Medium
2,AV:A/AC:H/Au:M/C:C/I:P/A:P/E:H/RL:ND/RC:ND,5.2,8.55,2.03,5.2,,Medium
2,AV:A/AC:H/Au:M/C:C/I:P/A:P/E:U/RL:OF/RC:C,5.2,8.55,2.03,3.8,,Medium
2,AV:A/AC:H/Au:M/C:N/I:C/A:C,5.7,9.21,2.03,,,Medium
2,AV:A/AC:H/Au:M/C:N/I:C/A:P/E:U/RL:OF/RC:C,4.7,7.84,2.03,3.5,,Medium
2,AV:A/AC:H/Au:M/C:N/I:N/A:C/E:U/RL:OF/RC:C,4,6.87,2.03,3,,Medium
2,AV:A/AC:H/Au:M/C:N/I:P/A:C/E:F/RL:OF/RC:C,4.7,7.84,2.03,3.9,,Medium
2,AV:A/AC:H/Au:M/C:N/I:P/A:C/E:U/RL:OF/RC:C,4.7,7.84,2.03,3.5,,Medium
2,AV:A/AC:H/Au:M/C:N/I:P/A:N/E:H/RL:ND/RC:ND,1.2,2.86,2.03,1.2,,Low
2,AV:A/AC:H/Au:M/C:N/I:P/A:P/E:U/RL:OF/RC:C,2.7,4.94,2.03,2,,Low
2,AV:A/AC:H/Au:M/C:P/I:C/A:C/E:ND/RL:ND/RC:ND,5.9,9.54,2.03,,,Medium
2,AV:A/AC:H/Au:M/C:P/I:C/A:C/E:U/RL:OF/RC:C,5.9,9.54,2.03,4.4,,Medium
2,AV:A/AC:H/Au:M/C:P/I:C/A:N/E:U/RL:U/RC:UR,4.7,7.84,2.03,3.8,,Medium
2,AV:A/AC:H/Au:M/C:P/I:C/A:P/E:F/RL:OF/RC:C,5.2,8.55,2.03,4.3,,Medium
2,AV:A/AC:H/Au:M/C:P/I:C/A:P/E:U/RL:OF/RC:C,5.2,8.55,2.03,3.8,,Medium
2,AV:A/AC:H/Au:M/C:P/I:N/A:N/E:U/RL:OF/RC:C,1.2,2.86,2.03,0.9,,Low
2,AV:A/AC:H/Au:M/C:P/I:P/A:C/E:F/RL:OF/RC:C,5.2,8.55,2.03,4.3,,Medium
